County_Name,College_Ready_Rate,TSI_Ready_Rate,Participation_Rate,Year,County
San Patricio County,14.685714285714285,19.814285714285717,77.97142857142856,2024,SAN PATRICIO
San Saba County,23.7,20.7,91.66666666666667,2024,SAN SABA
Schleicher County,7.9,18.4,100.0,2024,SCHLEICHER
Scurry County,20.166666666666668,25.5,62.53333333333333,2024,SCURRY
Shackelford County,11.6,37.2,74.3,2024,SHACKELFORD
Shelby County,12.919999999999998,16.72,62.14,2024,SHELBY
Sherman County,10.3,24.1,76.3,2024,SHERMAN
Smith County,19.91,34.3,58.71,2024,SMITH
Somervell County,20.0,33.0,82.0,2024,SOMERVELL
Starr County,12.649999999999999,16.35,28.53333333333333,2024,STARR
Stephens County,8.8,19.1,60.7,2024,STEPHENS
Sterling County,10.0,13.3,88.2,2024,STERLING
Stonewall County,23.5,29.4,89.5,2024,STONEWALL
Sutton County,4.9,7.3,74.5,2024,SUTTON
Swisher County,11.25,19.099999999999998,90.46666666666665,2024,SWISHER
Tarrant County,18.884999999999998,31.25,87.285,2024,TARRANT
Taylor County,24.6,35.64,74.0,2024,TAYLOR
Terrell County,20.0,20.0,83.3,2024,TERRELL
Terry County,9.350000000000001,11.45,80.39999999999999,2024,TERRY
Throckmorton County,20.85,25.0,81.44999999999999,2024,THROCKMORTON
Titus County,19.23333333333333,30.566666666666666,53.666666666666664,2024,TITUS
Tom Green County,13.185714285714285,21.457142857142856,80.47142857142856,2024,TOM GREEN
Travis County,26.61875,38.53684210526316,84.62105263157895,2024,TRAVIS
Trinity County,10.95,24.8,72.2,2024,TRINITY
Tyler County,13.633333333333333,16.98,57.739999999999995,2024,TYLER
Upshur County,16.966666666666665,23.285714285714285,63.771428571428565,2024,UPSHUR
Upton County,9.1,13.6,100.0,2024,UPTON
Uvalde County,15.266666666666666,22.1,88.425,2024,UVALDE
Val Verde County,19.85,44.1,53.900000000000006,2024,VAL VERDE
Van Zandt County,13.183333333333332,32.075,60.675000000000004,2024,VAN ZANDT
Victoria County,8.25,20.55,40.9,2024,VICTORIA
Walker County,20.4,35.7,35.5,2024,WALKER
Waller County,4.366666666666666,11.333333333333334,70.2,2024,WALLER
Ward County,2.6,11.3,66.95,2024,WARD
Washington County,15.5,28.799999999999997,75.95,2024,WASHINGTON
Webb County,16.73333333333333,33.699999999999996,41.65,2024,WEBB
Wharton County,11.3,23.22,50.760000000000005,2024,WHARTON
Wheeler County,21.75,17.3,47.575,2024,WHEELER
Wichita County,22.740000000000002,33.18,56.279999999999994,2024,WICHITA
