County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,TXST_Market_Share
ORANGE,2535.0,35.0,10.0,60.0,0.0,18.0,0.0,0.0,0.0,1.3806706114398422
PALO PINTO,236.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
PALO PINTO CO,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PANOLA,932.0,0.0,0.0,29.0,5.0,40.0,0.0,0.0,0.0,0.0
PARKER,4257.0,58.0,78.0,235.0,300.0,12.0,0.0,114.0,0.0,1.3624618275781066
PARMER,333.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
PECOS,331.0,0.0,0.0,0.0,19.0,0.0,27.0,0.0,0.0,0.0
POLK,853.0,5.0,11.0,49.0,0.0,53.0,0.0,0.0,0.0,0.5861664712778429
POTTER,6744.0,14.0,107.0,107.0,381.0,0.0,0.0,51.0,0.0,0.20759193357058123
PRESIDIO,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAINS,253.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
RANDALL,2084.0,13.0,13.0,36.0,218.0,0.0,0.0,18.0,0.0,0.6238003838771593
REAGAN,114.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
REAL,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RED RIVER,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RED RIVER COU,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REEVES,335.0,5.0,0.0,0.0,32.0,0.0,5.0,0.0,0.0,1.4925373134328357
REFUGIO,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROBERTSON,307.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
ROBERTSON COU,233.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCKWALL,4660.0,130.0,145.0,288.0,370.0,131.0,11.0,307.0,0.0,2.7896995708154506
RUNNELS,421.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
RUSK,1504.0,0.0,10.0,16.0,0.0,59.0,0.0,0.0,0.0,0.0
SABINE,198.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
SAN AUGUSTINE,138.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
SAN JACINTO,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN JACINTO C,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN PATRICIO,2372.0,85.0,0.0,58.0,7.0,0.0,73.0,0.0,0.0,3.583473861720068
SAN SABA,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHLEICHER,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHLEICHER CO,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCURRY,477.0,14.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,2.9350104821802936
SHACKELFORD,74.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
SHACKELFORD C,64.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
SHELBY,1045.0,0.0,0.0,5.0,0.0,107.0,0.0,0.0,0.0,0.0
