County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Has_Data,Dominant_School,Dominant_Enrollment,Dominant_Share,TXST_Market_Share,College_Ready_Rate,TSI_Ready_Rate,Participation_Rate,High_Academic_Performance,Low_TXST_Presence,Large_Market,High_Participation,Prime_Target,Academic_Score,Market_Score,TXST_Gap_Score,Participation_Score,Strategic_Opportunity_Score,Opportunity_Tier
KERR,1054.0,84.0,44.0,73.0,62.0,0.0,58.0,7.0,0.0,True,TXST,84.0,7.969639468690702,7.969639468690702,19.35,23.46666666666667,87.66666666666667,False,True,False,True,False,38.7,58.54604374975062,92.0303605313093,87.66666666666667,60.21655189785371,Tier 5: Maintain/Monitor
BROWN,1051.0,16.0,0.0,41.0,21.0,0.0,0.0,0.0,0.0,True,Texas A&M,41.0,3.9010466222645097,1.5223596574690772,20.75,29.7,63.4,False,True,False,False,False,41.5,58.52209435967488,98.47764034253092,63.4,60.19215637640865,Tier 5: Maintain/Monitor
RANDALL,2084.0,13.0,13.0,36.0,218.0,0.0,0.0,18.0,0.0,True,Texas Tech,218.0,10.460652591170826,0.6238003838771593,14.2,30.7,95.7,False,True,True,True,False,28.4,64.27532306777842,99.37619961612285,95.7,60.087836843558094,Tier 4: Volume Play
WOOD,1061.0,0.0,0.0,11.0,0.0,8.0,0.0,7.0,0.0,True,Texas A&M,11.0,1.0367577756833175,0.0,20.733333333333334,31.85,55.81666666666666,False,True,False,False,False,41.46666666666667,58.60166185758672,100.0,55.81666666666666,59.74883189060935,Tier 5: Maintain/Monitor
COLLINGSWORTH,110.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,4.545454545454546,0.0,25.9,29.6,71.1,True,True,False,True,False,51.800000000000004,39.60819355884091,100.0,71.1,59.71245806765228,Tier 2: Strong Opportunity
BANDERA,315.0,23.0,0.0,12.0,12.0,0.0,22.0,0.0,0.0,True,TXST,23.0,7.301587301587302,7.301587301587302,25.85,29.4,59.45,True,True,False,False,False,51.7,48.407068630118474,92.6984126984127,59.45,59.68680312871809,Tier 2: Strong Opportunity
PANOLA,932.0,0.0,0.0,29.0,5.0,40.0,0.0,0.0,0.0,True,Stephen F. Austin,40.0,4.291845493562231,0.0,19.424999999999997,20.45,67.175,False,True,False,False,False,38.849999999999994,57.512504485791446,100.0,67.175,59.511251345737435,Tier 5: Maintain/Monitor
HUNT,2344.0,6.0,5.0,6.0,18.0,11.0,0.0,90.0,0.0,True,UNT,90.0,3.839590443686007,0.2559726962457337,17.58,27.79,58.25,False,True,True,False,False,35.16,65.26366329005427,99.74402730375427,58.25,59.41690444776714,Tier 4: Volume Play
AUSTIN,1228.0,41.0,0.0,130.0,11.0,0.0,7.0,0.0,0.0,True,Texas A&M,130.0,10.586319218241044,3.3387622149837135,18.433333333333337,37.63333333333333,69.10000000000001,False,True,False,False,False,36.866666666666674,59.82994874483944,96.66123778501628,69.10000000000001,58.937898847121765,Tier 5: Maintain/Monitor
CALLAHAN,394.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,True,Texas Tech,18.0,4.568527918781726,0.0,19.766666666666666,23.55,80.125,False,True,False,True,False,39.53333333333333,50.28375538953188,100.0,80.125,58.910959950192904,Tier 5: Maintain/Monitor
TITUS,1308.0,0.0,11.0,35.0,10.0,5.0,0.0,6.0,0.0,True,Texas A&M,35.0,2.675840978593272,0.0,19.23333333333333,30.566666666666663,53.666666666666664,False,True,False,False,False,38.46666666666666,60.36031967188148,100.0,53.666666666666664,58.86142923489778,Tier 5: Maintain/Monitor
HANSFORD,296.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,True,Texas Tech,33.0,11.14864864864865,0.0,22.0,29.0,68.46666666666667,False,True,False,False,False,44.0,47.88555014745393,100.0,68.46666666666667,58.81233171090284,Tier 5: Maintain/Monitor
HARDIN,1978.0,67.0,5.0,88.0,8.0,38.0,0.0,0.0,10.0,True,Texas A&M,88.0,4.448938321536906,3.3872598584428717,18.04,27.9,58.620000000000005,False,True,False,False,False,36.08,63.83650133858543,96.61274014155713,58.620000000000005,58.76749842988706,Tier 5: Maintain/Monitor
MIDLAND,4221.0,68.0,88.0,146.0,407.0,0.0,21.0,45.0,0.0,True,Texas Tech,407.0,9.642264866145462,1.610992655768775,13.85,32.1,67.4,False,True,True,False,False,27.699999999999996,70.20907174738845,98.38900734423123,67.4,58.56052299306278,Tier 4: Volume Play
KNOX,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,28.4,28.4,72.5,True,True,False,True,False,56.8,28.604824359584413,100.0,72.5,58.55144730787532,Tier 2: Strong Opportunity
SAN PATRICIO,2372.0,85.0,0.0,58.0,7.0,0.0,73.0,0.0,0.0,True,TXST,85.0,3.583473861720068,3.583473861720068,14.685714285714283,19.814285714285717,77.97142857142856,False,True,True,True,False,29.371428571428567,65.36348905312676,96.41652613827993,77.97142857142856,58.4380662293083,Tier 4: Volume Play
ELLIS,7393.0,222.0,131.0,258.0,298.0,67.0,7.0,348.0,5.0,True,UNT,348.0,4.707155417286622,3.002840524820777,12.02727272727273,21.69,69.22727272727273,False,True,True,False,False,24.05454545454546,74.92182288651823,96.99715947517922,69.22727272727273,58.42052421553677,Tier 4: Volume Play
REAL,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,27.8,38.9,72.0,True,True,False,True,False,55.60000000000001,29.40640411137488,100.0,72.0,58.26192123341247,Tier 2: Strong Opportunity
WALKER,1727.0,36.0,25.0,74.0,12.0,0.0,36.0,23.0,12.0,True,Texas A&M,74.0,4.284887087434859,2.0845396641574987,20.4,35.7,35.5,False,True,False,False,False,40.8,62.695848218381556,97.9154603358425,35.5,58.26184653268296,Tier 5: Maintain/Monitor
HOUSTON,437.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,True,Stephen F. Austin,10.0,2.2883295194508007,0.0,20.55,28.8,63.64,False,True,False,False,False,41.1,51.15281006209561,100.0,63.64,58.14984301862869,Tier 5: Maintain/Monitor
ANGELINA,3378.0,50.0,37.0,157.0,11.0,505.0,0.0,0.0,8.0,True,Stephen F. Austin,505.0,14.949674363528716,1.4801657785671996,16.083333333333332,33.68571428571429,50.628571428571426,False,True,True,False,False,32.166666666666664,68.33587026479658,98.5198342214328,50.628571428571426,58.13425173324934,Tier 4: Volume Play
