County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Has_Data,Dominant_School,Dominant_Enrollment,Dominant_Share,TXST_Market_Share,Is_Viable_Market,Market_Size_Score,Growth_Potential,Breakable_Market,Opportunity_Score,Opportunity_Category
DIMMIT,433.0,17.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,True,UTSA,39.0,9.006928406466514,3.9260969976905313,False,51.07565152275302,96.07390300230946,90.99307159353349,0.0,⚫ Small Market
DONLEY,72.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,True,Texas Tech,8.0,11.11111111111111,0.0,False,36.08371551667892,100.0,88.88888888888889,0.0,⚫ Small Market
DUVAL,443.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,True,UTSA,5.0,1.1286681715575622,0.0,False,51.26723661359524,100.0,98.87133182844244,0.0,⚫ Small Market
EASTLAND,478.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,True,Texas Tech,22.0,4.602510460251046,0.0,False,51.90537089694178,100.0,95.39748953974896,0.0,⚫ Small Market
ECTOR,4939.0,67.0,87.0,57.0,246.0,0.0,86.0,52.0,0.0,True,Texas Tech,246.0,4.980765337112776,1.356549908888439,True,71.52995075294417,98.64345009111156,95.01923466288723,84.361857336383,🔥 TOP PRIORITY
EL PASO,38033.0,342.0,782.0,320.0,803.0,0.0,363.0,127.0,17.0,True,Texas Tech,803.0,2.111324376199616,0.8992190992033234,True,88.69618200925046,99.10078090079668,97.88867562380038,93.65606039962431,🔥 TOP PRIORITY
ELLIS,7393.0,222.0,131.0,258.0,298.0,67.0,7.0,348.0,5.0,True,UNT,348.0,4.707155417286622,3.002840524820777,True,74.92182288651823,96.99715947517922,95.29284458271337,85.61862820235555,🔥 TOP PRIORITY
ERATH,2998.0,36.0,5.0,19.0,76.0,0.0,0.0,17.0,5.0,True,Texas Tech,76.0,2.535023348899266,1.200800533689126,True,67.3325231680697,98.79919946631087,97.46497665110073,82.79901675414825,🔥 TOP PRIORITY
FALLS,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,48.87298465214183,100.0,100.0,0.0,⚫ Small Market
FANNIN,736.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,5.0,0.6793478260869565,0.0,True,55.52922861609885,100.0,99.32065217391305,77.62874474283203,🔥 TOP PRIORITY
FAYETTE,716.0,15.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,72.0,10.05586592178771,2.094972067039106,True,55.29784616010299,97.90502793296089,89.94413407821229,75.00925827558221,🔥 TOP PRIORITY
FLOYD,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,45.01031393558289,100.0,100.0,0.0,⚫ Small Market
FORT BEND,13934.0,699.0,783.0,1047.0,244.0,117.0,464.0,138.0,1909.0,True,UH,1909.0,13.700301420984642,5.016506387254198,True,80.25167311934894,94.9834936127458,86.29969857901536,85.88082435930129,🔥 TOP PRIORITY
FORT BEND COU,13868.0,544.0,794.0,943.0,294.0,108.0,442.0,129.0,2071.0,True,UH,2071.0,14.933660224978368,3.922699740409577,True,80.21174536210125,96.07730025959043,85.06633977502163,85.94233071393208,🔥 TOP PRIORITY
FRANKLIN,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,49.14550463546596,100.0,100.0,0.0,⚫ Small Market
FREESTONE,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,49.665402941372434,100.0,100.0,0.0,⚫ Small Market
